“C001, Atari, Atari 5200 SuperSystem, ROM cartridge, 1982, 269.00, 69”
“C002, Nintendo, Nintendo Entertainment System, ROM cartridge, 1983, 299.00, 714”
“C003, Sega, Sega Genesis, ROM cartridge, 1988, 189.00, 700”
“C004, SNK, Neo Geo, ROM cartridge, 1990, 649.99, 148”
“C005, Nintendo, Super Nintendo Entertainment System, ROM cartridge, 1990, 199.99, 783”
“C006, Sony, PlayStation, CD-ROM, 1994, 299.00, 2432”
“C007, Nintendo, Nintendo 64, Magnetic Disk 64DD, 1996, 199, 388”
“C008, Sony, PlayStation 2, DVD, 2000, 299, 2501”
“C009, Microsoft, Xbox, DVD, 2001, 400, 1045”
“C010, Nintendo, GameCube, Nintendo Game Disc, 2001, 199, 661”
